Carrier Frequency,Half Area Carrier,Symmetry Carrier,Weighted Center Carrier
187094023.8047905,231347656.25,154296875.0,233176375.66107342
138660177.57826233,182226562.5,356689453.125,186418909.26677626
116621432.52787018,232739257.8125,203491210.9375,149945994.20328462
147784199.27232742,171020507.8125,157714843.75,209341989.47550574
132908213.4817543,145825195.3125,318725585.9375,164992148.05134568
145609993.43279648,217480468.75,347290039.0625,204381188.802033
134564765.3920288,180200195.3125,136962890.625,171704867.72799438
117411047.58003235,117407226.5625,125000000.0,117412093.60125057
133086205.18363953,182080078.125,373168945.3125,185790732.60626438
123820947.37049484,126440429.6875,225708007.8125,129393781.176932
116253193.66926575,116259765.625,144531250.0,116338094.22927952
161057962.85917664,202465820.3125,149169921.875,223858447.66464373
127027387.84710312,127026367.1875,275146484.375,141785574.6391176
157569064.0449791,224829101.5625,173828125.0,221223869.50293973
128016317.29375839,128588867.1875,146972656.25,146888710.79593295
140729423.96409988,186450195.3125,311279296.875,192903158.85947672
177157054.92383194,241845703.125,183349609.375,230797093.97761503
120216092.65527725,66430664.0625,147216796.875,123837203.87757385
131338217.59710312,132788085.9375,320068359.375,158653432.66100648
122648024.27191544,247119140.625,190307617.1875,195057930.48120803
151317711.3760376,188940429.6875,358032226.5625,213879374.11535746
147490549.26860428,269653320.3125,162841796.875,247683631.2339254
136608561.8870163,181127929.6875,133789062.5,179173804.7725236
143169277.86138153,183691406.25,165893554.6875,198819040.5979175
170593345.85766983,233129882.8125,248168945.3125,229325055.2805412
124598899.82159805,164550781.25,200561523.4375,132750689.36080432
117083788.5090828,117089843.75,144775390.625,117084825.11606522
125891557.2437439,125903320.3125,275634765.625,137129553.4346508
165285935.37184525,209863281.25,134033203.125,226331875.96652773
115150316.34603119,115161132.8125,143798828.125,115137718.19977711
123780955.00133133,254614257.8125,350952148.4375,242380007.1872829
129803084.16527557,130053710.9375,321655273.4375,152649143.9176424
144249274.768898,254248046.875,214477539.0625,250363958.43457702
152324115.17697906,189819335.9375,150024414.0625,217065838.07268295
118636082.51153183,118627929.6875,199829101.5625,118720689.96824394
118494021.77814865,118481445.3125,172607421.875,118516793.2568442
118559053.58934402,118579101.5625,363281250.0,118567795.80711615
113818269.99350357,113818359.375,250000000.0,113789781.32465687
184016995.5023384,230493164.0625,174194335.9375,231757156.07109937
121623748.44672394,173803710.9375,252319335.9375,123781177.15750499
190141067.14758682,252587890.625,175781250.0,232566655.55389237
190256436.03445053,222509765.625,355224609.375,232430248.92192492
120578008.16106796,120581054.6875,147094726.5625,121740483.22508265
169665536.49826813,212011718.75,272338867.1875,228328383.30059916
120081168.77777863,120092773.4375,172973632.8125,120327329.85597488
118875376.39813614,118872070.3125,199218750.0,118881352.09271458
118484991.79446793,118481445.3125,172363281.25,118489748.67726366
122714545.75780487,161840820.3125,174316406.25,126314719.79631682
179133158.15901184,224926757.8125,138916015.625,230988652.33813074
120767609.84183502,120751953.125,251953125.0,121341030.58638723
173801266.86094666,228515625.0,220214843.75,229889727.90825748
167194766.99332428,199780273.4375,305908203.125,228235587.1679385
180500976.4550972,230322265.625,162231445.3125,231644815.5146058
119390804.52835083,98486328.125,201049804.6875,121527128.1852432
117660679.38344574,176318359.375,146118164.0625,126385593.8054859
188676889.3859024,237915039.0625,182250976.5625,232255714.83624262
119022385.28162003,119506835.9375,146240234.375,120177177.78547652
116495764.42682648,116503906.25,374877929.6875,116495836.26247132
117577993.85562515,117553710.9375,145141601.5625,117674935.47615705
115129303.19739914,115112304.6875,143920898.4375,115103461.09287667
134591846.9160843,181396484.375,298461914.0625,184097092.80913064
171284956.44821167,229003906.25,202392578.125,229285246.5951838
160773867.7189598,193457031.25,169433593.75,225675594.10434002
119364174.98081589,224438476.5625,326782226.5625,139401938.01967657
149064858.64401245,209619140.625,248168945.3125,216615429.43497157
125366604.51958847,128002929.6875,125366210.9375,150645022.06881037
120994990.41112137,91967773.4375,280761718.75,124606113.02259098
178022333.701931,229321289.0625,180908203.125,230811949.55732927
118581078.93468857,118579101.5625,227905273.4375,119148784.61324209
145842448.1615677,228442382.8125,331787109.375,213373999.9558193
126754303.2493248,126831054.6875,305786132.8125,157137406.72788006
116591145.89862823,116577148.4375,144531250.0,116585790.91820686
138785906.51050568,183496093.75,134033203.125,197278650.96629816
