File_name,signal,trap,B_bkg [Tesla],Cyclotron frequency [Hertz],Downmixed cyclotron frequency [Hertz],Energy [eV],LO frequency [Hertz],Pitch angle [degrees],Starting x position [metres],Starting y position [metres],Starting z position [metres],Starting velocity [metres/second],Time step [seconds],Waveguide impedance [Ohms],i_coil [Amps],r_coil [metres],r_wg [metres]
out_ba8317b9-b465-4f61-9953-d905fbb2656b.h5,signal1,Harmonic,1.0048571427712552,27008274587.84889,116436987.04372025,18575.0,26891837600.80517,89.5,-1.786306702402901e-05,-0.003184081416480418,0.0,[78565132.05140814  4616218.92260978  -686810.00908256],1e-09,496.0432012977933,154.60765618550025,0.02,0.005
out_4e06eb40-452d-464f-8242-0114fb451b01.h5,signal1,Harmonic,1.0048571427712552,27009089913.021988,117252312.21681976,18575.0,26891837600.80517,89.5,0.0027275209665204745,0.00029135962361659314,0.0,[17489368.31782178 76732727.35437098   686810.00908256],1e-09,496.0322151053999,154.60765618550025,0.02,0.005
out_a4342a44-274c-4f5a-a9d6-b3516baa7265.h5,signal1,Harmonic,1.0048571427712552,27010455493.21887,118617892.4137001,18575.0,26891837600.80517,89.5,0.002611712272138921,0.00013743548582248808,0.0,[  -783034.56494762 -78696736.32538237   -686810.00908256],1e-09,496.0138183019458,154.60765618550025,0.02,0.005
out_490ece9c-e713-474a-9fe3-cf7a38459287.h5,signal1,Harmonic,1.0048571427712552,27008972894.902508,117135294.09733963,18575.0,26891837600.80517,89.5,-0.0015688521779253716,-0.003250818594987983,0.0,[-41274150.83645213  67009207.75629614   -686810.00908256],1e-09,496.03379177343527,154.60765618550025,0.02,0.005
out_4b676f71-59f7-4f8f-8e18-90ed7fb7f37f.h5,signal1,Harmonic,1.0048571427712552,27009443970.482708,117606369.67753983,18575.0,26891837600.80517,89.5,0.0020149611286764155,-0.0021366013585480924,0.0,[ 50652647.30434023 -60233701.30133772    686810.00908256],1e-09,496.02744485472886,154.60765618550025,0.02,0.005
out_0600b8e1-455e-4955-bb5b-3acba5cd9d72.h5,signal1,Harmonic,1.0048571427712552,27010284637.521168,118447036.7159996,18575.0,26891837600.80517,89.5,0.0017640961397760433,-0.0008008896086712413,0.0,[67422246.69004712 40595937.02161696   686810.00908256],1e-09,496.0161197685147,154.60765618550025,0.02,0.005
out_58fa0be6-53a4-42ac-886e-16bded9c7ea3.h5,signal1,Harmonic,1.0048571427712552,27010253950.054394,118416349.24922562,18575.0,26891837600.80517,89.5,0.0017962917711279625,-0.0008813513709659692,0.0,[-23341974.87099839  75159441.59264584   -686810.00908256],1e-09,496.01653314395475,154.60765618550025,0.02,0.005
out_46665476-3aaa-4551-8480-0efda3042505.h5,signal1,Harmonic,1.0048571427712552,27007954920.23466,116117319.42949295,18575.0,26891837600.80517,89.5,-0.0019911901473720624,-0.003231127359247861,0.0,[-45344296.92526489 -64324833.36744895    686810.00908256],1e-09,496.0475091664147,154.60765618550025,0.02,0.005
out_3373cda0-24cc-449f-9e90-012bf6b110ba.h5,signal1,Harmonic,1.0048571427712552,27010605523.573853,118767922.76868439,18575.0,26891837600.80517,89.5,0.001581595820038846,0.001146694087124807,0.0,[-66058058.07767689 -42779930.04205275   -686810.00908256],1e-09,496.01179742008657,154.60765618550025,0.02,0.005
out_8feb767d-4685-4169-aa7a-7e9a52f025f9.h5,signal1,Harmonic,1.0048571427712552,27010125693.10597,118288092.30080032,18575.0,26891837600.80517,89.5,0.00037100847864772045,0.0021781863823032207,0.0,[-48009097.19156764 -62361174.12498961   -686810.00908256],1e-09,496.0182608552758,154.60765618550025,0.02,0.005
