File_name,B_bkg [Tesla],Cyclotron frequency [Hertz],Downmixed cyclotron frequency [Hertz],Energy [eV],LO frequency [Hertz],Pitch angle [degrees],Starting position [metres],Starting velocity [metres/second],Time step [seconds],Waveguide impedance [Ohms],i_coil [Amps],r_coil [metres],r_wg [metres]
out_4919ae3b-f354-4837-8d51-dcdafd875d96.h5,1.0048571427712552,27007826028.69772,115988427.89255142,18575.0,26891837600.80517,89.3,[0.00415 0.      0.     ],[-74318967.96788207  25884892.01150175   -961522.29669855],1e-09,496.0492461950204,154.60765618550025,0.02,0.005
out_a844ff23-1202-4690-954e-59134d5725cd.h5,1.0048571427712552,27011952242.398182,120114641.59301376,18575.0,26891837600.80517,89.4,[0.00095 0.      0.     ],[-60061011.22735374 -50855253.78774779   -824167.40816897],1e-09,495.99365997352237,154.60765618550025,0.02,0.005
out_d7ded7e4-e570-4702-ac44-17c704e21e23.h5,1.0048571427712552,27021792430.656376,129954829.85120773,18575.0,26891837600.80517,88.3,[0.0023 0.     0.    ],[76949583.22333568 16357607.35490805 -2334841.05729442],1e-09,495.8612760777744,154.60765618550025,0.02,0.005
out_7394a0e7-2ae8-4e4b-925f-05f990bb5c93.h5,1.0048571427712552,27041564002.426853,149726401.62168503,18575.0,26891837600.80517,87.4,[0.00225 0.      0.     ],[-59237591.81622677  51695476.78761688  -3570231.77123046],1e-09,495.5960374598197,154.60765618550025,0.02,0.005
out_d34e1658-7c7e-49d7-8d0a-ce9ca3e8c7b2.h5,1.0048571427712552,27027494423.118237,135656822.3130684,18575.0,26891837600.80517,88.0,[0.00215 0.      0.     ],[-77177865.6909815  -15175432.52560408  -2746717.02781569],1e-09,495.7846795412532,154.60765618550025,0.02,0.005
out_6d3483e0-0bfc-4a85-9f9f-8cdd0a3f7ac1.h5,1.0048571427712552,27033818654.316784,141981053.51161575,18575.0,26891837600.80517,87.7,[0.002 0.    0.   ],[53839267.10165197 57320312.6588485   3158517.69570215],1e-09,495.69982243398465,154.60765618550025,0.02,0.005
out_90aef961-00f0-4068-ad43-598bbf83e0ef.h5,1.0048571427712552,27012297584.525494,120459983.72032547,18575.0,26891837600.80517,89.3,[0.00085 0.      0.     ],[65042020.83046986 44304313.1144916    961522.29669855],1e-09,495.9890097049264,154.60765618550025,0.02,0.005
out_dd4f1fc2-cfc7-4272-8850-979ee52603bb.h5,1.0048571427712552,27007001047.33727,115163446.53210068,18575.0,26891837600.80517,89.4,[0.00405 0.      0.     ],[41626390.09257564 66789412.00017611   824167.40816897],1e-09,496.0603652171805,154.60765618550025,0.02,0.005
out_09a13ffd-46cf-4a68-a627-b5b92fb69237.h5,1.0048571427712552,27005834809.622913,113997208.81774521,18575.0,26891837600.80517,89.7,[0.0042 0.     0.    ],[-66707051.58664764  41764346.16232833   -412089.35290339],1e-09,496.0760866751794,154.60765618550025,0.02,0.005
out_02db1580-28b1-4e72-b77a-e714f96acc8a.h5,1.0048571427712552,27029857832.577007,138020231.77183914,18575.0,26891837600.80517,87.8,[0.00305 0.      0.     ],[49768240.91021653 60895446.01104379  3021259.87030847],1e-09,495.75295577596404,154.60765618550025,0.02,0.005
out_25df66dc-6814-42ed-846d-369f16e0e49d.h5,1.0048571427712552,27009374883.39372,117537282.58855057,18575.0,26891837600.80517,89.2,[0.00395 0.      0.     ],[ 77609870.42559904 -13029261.19455291   1098874.25626444],1e-09,496.028375646273,154.60765618550025,0.02,0.005
out_4bfe9b75-3c8c-499c-bc5b-df31a76f58ac.h5,1.0048571427712552,27078931624.60996,187094023.8047905,18575.0,26891837600.80517,86.5,[0.0038 0.     0.    ],[ 75125107.84163687 -22965055.83445453   4804741.58389951],1e-09,495.0974850833062,154.60765618550025,0.02,0.005
out_9a4c2c39-25f5-4fa1-b0a2-4b274045313d.h5,1.0048571427712552,27030497778.38343,138660177.57826233,18575.0,26891837600.80517,87.9,[0.00015 0.      0.     ],[-61180491.80961795  49425612.45556715   2883992.84163323],1e-09,495.74436833823364,154.60765618550025,0.02,0.005
out_c61ef198-b20c-4eb6-86e7-7067ba0b4579.h5,1.0048571427712552,27008459033.33304,116621432.52787018,18575.0,26891837600.80517,88.9,[0.0048 0.     0.    ],[-9177085.89735726 78152155.50254074  1510908.37725346],1e-09,496.0407158150276,154.60765618550025,0.02,0.005
out_f5125743-85d1-4d0a-b3f9-7820d5a55196.h5,1.0048571427712552,27039621800.077496,147784199.27232742,18575.0,26891837600.80517,87.5,[0.00135 0.      0.     ],[-24727142.43527916  74639427.04406054  -3433004.06422971],1e-09,495.62204779625364,154.60765618550025,0.02,0.005
out_0291f764-c1f5-47ce-904f-8735aee60f42.h5,1.0048571427712552,27024745814.286922,132908213.4817543,18575.0,26891837600.80517,88.2,[0.0012 0.     0.    ],[ 29841403.49871797 -72784890.71837026  -2472140.71744274],1e-09,495.82159192537415,154.60765618550025,0.02,0.005
out_6883bfae-e7c8-44bb-b2fb-90cc1119b90d.h5,1.0048571427712552,27037447594.237965,145609993.43279648,18575.0,26891837600.80517,87.6,[0.0011 0.     0.    ],[ 71988241.1192816  -31640041.51501327   3295765.89970319],1e-09,495.6511766771761,154.60765618550025,0.02,0.005
out_d0c2c9da-a575-4fe2-93be-55c84982baa6.h5,1.0048571427712552,27026402366.197197,134564765.3920288,18575.0,26891837600.80517,88.1,[0.00105 0.      0.     ],[-73074503.16821148 -29113038.42475346   2609432.84702172],1e-09,495.7993429611506,154.60765618550025,0.02,0.005
out_54aa5d97-f9d9-438e-8431-e7af6f6c4ce4.h5,1.0048571427712552,27009248648.3852,117411047.58003235,18575.0,26891837600.80517,90.0,[0.0021 0.     0.    ],[-7.17056581e+07  3.24431773e+07 -4.81920734e-09],1e-09,496.03007640816406,154.60765618550025,0.02,0.005
out_fcb9a618-8fd8-4669-ae73-bb427e4e206d.h5,1.0048571427712552,27024923805.988808,133086205.18363953,18575.0,26891837600.80517,87.9,[0.00485 0.      0.     ],[ 72474958.42584392 -30550354.26712497   2883992.84163323],1e-09,495.8192009988223,154.60765618550025,0.02,0.005
out_543f9405-4b81-4974-a708-5c00e194a31b.h5,1.0048571427712552,27015658548.175663,123820947.37049484,18575.0,26891837600.80517,88.9,[0.0001 0.     0.    ],[-76300592.98815764 -19240525.58835879   1510908.37725346],1e-09,495.9437681644339,154.60765618550025,0.02,0.005
