File_name,signal,trap,B_bkg [Tesla],Cyclotron frequency [Hertz],Downmixed cyclotron frequency [Hertz],Energy [eV],LO frequency [Hertz],Pitch angle [degrees],Starting x position [metres],Starting y position [metres],Starting z position [metres],Starting velocity [metres/second],Time step [seconds],Waveguide impedance [Ohms],i_coil [Amps],r_coil [metres],r_wg [metres]
out_65ec80bf-256e-4e51-bbfd-4ee28b339504.h5,signal1,Harmonic,0.7033999999999999,18905646368.177975,156360045.99044037,18575.0,18749286322.187534,89.5,-0.0032151837495242776,0.001960823248291918,0.0,[ 73286594.6110571  -28685614.89163577   -686810.00908256],1e-09,595.5054148532324,108.22536124357357,0.02,0.006
out_ca84fbcf-e196-4ae2-b6fc-d0b3dfafbee7.h5,signal1,Harmonic,0.7033999999999999,18906324790.611664,157038468.4241295,18575.0,18749286322.187534,89.5,-0.0026523725386136308,0.001559977908102106,0.0,[-69468495.07569931  36985370.66617285    686810.00908256],1e-09,595.4733931584154,108.22536124357357,0.02,0.006
out_e5527138-221a-4d69-833d-07dab0571913.h5,signal1,Harmonic,0.7033999999999999,18906824880.271637,157538558.08410263,18575.0,18749286322.187534,89.5,0.000918179681892086,0.0032088901502322085,0.0,[ 74320690.89989938 -25888691.65404604   -686810.00908256],1e-09,595.449794325057,108.22536124357357,0.02,0.006
out_a2f57005-9c02-4890-b145-279f91a018f2.h5,signal1,Harmonic,0.7033999999999999,18907885082.984264,158598760.79673004,18575.0,18749286322.187534,89.5,-0.0017549487178066061,0.0001556850315952493,0.0,[14563394.9670415  77341431.18943824  -686810.00908256],1e-09,595.399779670633,108.22536124357357,0.02,0.006
out_4274deef-164f-485f-8b5f-0483253e8545.h5,signal1,Harmonic,0.7033999999999999,18908084668.05021,158798345.8626747,18575.0,18749286322.187534,89.5,0.0006307308972959667,-0.0006892721644959219,0.0,[-67698929.97444212 -40132833.58688049    686810.00908256],1e-09,595.3903666723534,108.22536124357357,0.02,0.006
out_ad2f85db-d56e-4d33-bea7-fcf46f1f16aa.h5,signal1,Harmonic,0.7033999999999999,18905866906.932865,156580584.7453308,18575.0,18749286322.187534,89.5,0.00025826627639191255,-0.003615384994403331,0.0,[-11235002.40274929 -77894570.87889294    686810.00908256],1e-09,595.4950044284337,108.22536124357357,0.02,0.006
out_232c785c-523f-46eb-80a3-41efbf7a7756.h5,signal1,Harmonic,0.7033999999999999,18907754641.564346,158468319.37681198,18575.0,18749286322.187534,89.5,0.00047775598412067857,-0.0007323547306406038,0.0,[ 77839991.02874927 -11607120.57492694    686810.00908256],1e-09,595.405932060613,108.22536124357357,0.02,0.006
out_2018229a-c2cc-43cf-b4a8-7c8135da0369.h5,signal1,Harmonic,0.7033999999999999,18907566121.76186,158279799.57432556,18575.0,18749286322.187534,89.5,-0.000948402117797746,-0.0018690870083656623,0.0,[-17305480.39674826  76774408.49420086   -686810.00908256],1e-09,595.4148243331441,108.22536124357357,0.02,0.006
out_ed7c21d8-4a7b-4bfc-9cc8-13aae529444c.h5,signal1,Harmonic,0.7033999999999999,18905976114.47931,156689792.29177475,18575.0,18749286322.187534,89.5,-0.0009677702983027361,0.003102861202251475,0.0,[  5004055.12757901 -78541383.25543301    686810.00908256],1e-09,595.4898496762255,108.22536124357357,0.02,0.006
out_65226a73-0264-40ae-8f27-e0f5adf8f5f0.h5,signal1,Harmonic,0.7033999999999999,18907599590.58,158313268.3924675,18575.0,18749286322.187534,89.5,-0.0005218651231904545,0.002191045814873469,0.0,[ 76703483.87553003 -17617179.47779849   -686810.00908256],1e-09,595.4132455971559,108.22536124357357,0.02,0.006
out_dafa2ef2-9159-4136-833a-dcaf92e8db2d.h5,signal1,Harmonic,0.7033999999999999,18907899290.098415,158612967.91088104,18575.0,18749286322.187534,89.5,-0.0011753446644255118,-0.001219701114548543,0.0,[-68975106.80427963  37897547.31819564   -686810.00908256],1e-09,595.3991095981863,108.22536124357357,0.02,0.006
out_ca2e572b-5057-4fe9-965c-0f015ac8852a.h5,signal1,Harmonic,0.7033999999999999,18906036196.12652,156749873.93898392,18575.0,18749286322.187534,89.5,-0.0006263083651781955,0.0037510953798467377,0.0,[ 61235857.37483311 -49436415.95995566    686810.00908256],1e-09,595.4870138318132,108.22536124357357,0.02,0.006
