File_name,signal,trap,B_bkg [Tesla],Cyclotron frequency [Hertz],Downmixed cyclotron frequency [Hertz],Energy [eV],LO frequency [Hertz],Pitch angle [degrees],Starting x position [metres],Starting y position [metres],Starting z position [metres],Starting velocity [metres/second],Time step [seconds],Waveguide impedance [Ohms],i_coil [Amps],r_coil [metres],r_wg [metres]
out_8dd19991-b758-4531-a974-045986b3fc45.h5,signal1,Bathtub,1.0,27024971069.122906,214328017.96063995,18575.0,26810643051.162266,89.5,0.0031317140628723222,-0.0010666978411999035,0.0,[ 74785206.65133302 -24514532.78188424   -686810.00908256],1e-09,0.1,495.81856613644476,154.60765618550025,0.02
out_92031d8c-fc1d-47bd-aac9-c70fb1ea0ba4.h5,signal1,Bathtub,1.0,27024993065.71803,214350014.55576324,18575.0,26810643051.162266,89.5,-0.0016596579520900287,-0.0027264650859958064,0.0,[66115226.57882448 42691524.51983134  -686810.00908256],1e-09,0.1,495.81827066899535,154.60765618550025,0.02
out_d9af56c0-c656-4500-8426-c54a0e2f9566.h5,signal1,Bathtub,1.0,27025041019.42029,214397968.25802612,18575.0,26810643051.162266,89.5,0.0018883418123577024,0.0018038238038638288,0.0,[-39245218.86455115  68217316.33295272   -686810.00908256],1e-09,0.1,495.8176265391771,154.60765618550025,0.02
out_2df2015c-9c14-4146-a0f3-0f763397cd2b.h5,signal1,Bathtub,1.0,27025026735.33724,214383684.17497253,18575.0,26810643051.162266,89.5,-0.0006491554054254298,0.0028114210626335847,0.0,[-67329144.02528958 -40750163.38885614   -686810.00908256],1e-09,0.1,495.81781840703303,154.60765618550025,0.02
out_6693a68f-44a3-4cad-b181-98fa35c2aa7a.h5,signal1,Bathtub,1.0,27024994470.092262,214351418.9299965,18575.0,26810643051.162266,89.5,0.0023308207922764683,-0.0010938073597417358,0.0,[ -8836642.56548832 -78202961.57797645    686810.00908256],1e-09,0.1,495.81825180489665,154.60765618550025,0.02
out_30de6cb2-fe1b-4951-9575-d8bd3527b17c.h5,signal1,Bathtub,1.0,27024912692.985847,214269641.8235817,18575.0,26810643051.162266,89.5,0.0015900372776074053,0.0036548805738157732,0.0,[-29495535.9958536  -72964394.10914043    686810.00908256],1e-09,0.1,495.81935027514953,154.60765618550025,0.02
out_72e51073-23d3-4758-a290-b28a9ab8be13.h5,signal1,Bathtub,1.0,27025013791.48323,214370740.3209648,18575.0,26810643051.162266,89.5,0.0028354240453776157,0.0012082213665323557,0.0,[-61137939.8757765   49557459.16754205    686810.00908256],1e-09,0.1,495.81799227300735,154.60765618550025,0.02
out_6c184e27-8829-4ec2-a1d9-8cdb6c86ee3a.h5,signal1,Bathtub,1.0,27025086182.33703,214443131.17476273,18575.0,26810643051.162266,89.5,0.000875013356013754,0.0007805972339991442,0.0,[-49084217.49782827  61518526.02283762   -686810.00908256],1e-09,0.1,495.8170199015341,154.60765618550025,0.02
out_6a845b0e-fea7-4097-b445-040ff1a6ca80.h5,signal1,Bathtub,1.0,27025074282.37638,214431231.21411514,18575.0,26810643051.162266,89.5,0.0010738774550997701,0.0013556189621734683,0.0,[-61402198.71580057  49229660.20867908    686810.00908256],1e-09,0.1,495.8171797437568,154.60765618550025,0.02
out_a06bf812-1fed-4c47-9e86-aa26462cdef7.h5,signal1,Bathtub,1.0,27024986186.336884,214343135.17461777,18575.0,26810643051.162266,89.5,-0.0026096059441156187,0.002349614184540049,0.0,[-18537589.6047993  -76486255.12496148   -686810.00908256],1e-09,0.1,495.8183630755807,154.60765618550025,0.02
out_3e90b151-52f2-4f98-a8a4-d15b858328f3.h5,signal1,Bathtub,1.0,27025087578.17135,214444527.0090828,18575.0,26810643051.162266,89.5,0.0008461572928440559,-0.0002780365831265324,0.0,[-31052527.38889348  72315489.31009649    686810.00908256],1e-09,0.1,495.8170011524825,154.60765618550025,0.02
out_582b8182-76c8-43c3-b105-e353c807c5bd.h5,signal1,Bathtub,1.0,27025039241.79549,214396190.6332245,18575.0,26810643051.162266,89.5,-0.002561724870791726,2.9069992230122947e-05,0.0,[ 45804970.72991802 -63997610.17278703    686810.00908256],1e-09,0.1,495.81765041670906,154.60765618550025,0.02
out_62cc5c17-bfb4-4a46-b287-cf8ef79220e6.h5,signal1,Bathtub,1.0,27025081600.745613,214438549.58334732,18575.0,26810643051.162266,89.5,0.001127779872216447,0.0007783023973738874,0.0,[-67129939.02416591  41077496.73493294   -686810.00908256],1e-09,0.1,495.8170814421779,154.60765618550025,0.02
out_4bc8ad6f-8097-49b4-a51d-7b0a0b58dbff.h5,signal1,Bathtub,1.0,27025082517.31401,214439466.15174484,18575.0,26810643051.162266,89.5,0.00013908666582283596,-0.0010931291852108174,0.0,[ 51378525.99282875 -59615740.52379858    686810.00908256],1e-09,0.1,495.8170691306853,154.60765618550025,0.02
out_a462f5e6-7bca-4817-a826-b12bf7f4d66c.h5,signal1,Bathtub,1.0,27024966611.583206,214323560.4209404,18575.0,26810643051.162266,89.5,0.0007101880412442144,-0.0032335602338279925,0.0,[-25732188.63855799  74375022.14632496   -686810.00908256],1e-09,0.1,495.8186260121314,154.60765618550025,0.02
