File_name,signal,trap,Axial Frequency [Hertz],B_bkg [Tesla],Gas density [m^-3],LO frequency [Hertz],Pitch angle [degrees],Energy [eV],Cyclotron frequency [Hertz],Downmixed cyclotron frequency [Hertz],Time [seconds],Time step [seconds],i_coil [Amps],r_coil [metres],r_wg [metres],Starting x position [metres],Starting y position [metres],Maxmimum z position [metres],Starting z position [metres]
out_3d7b5f79-5d06-4fb1-bda7-b88deb513d49.h5,signal1,Bathtub,14563753.169410685,0.7,1e+18,18716858991.749607,88.43290442688054,17715.762658126176,18954652744.74696,237793752.9973526,0.00046794038079264066,1e-09,593.9308883424104,108.22535932985018,0.02,0.00026834734576958283,-0.00031988312921143585,0.024755632676500574,0.016130492368169835
out_3d7b5f79-5d06-4fb1-bda7-b88deb513d49.h5,signal1,Bathtub,14336384.23020056,0.7,1e+18,18716858991.749607,88.50254417041725,17692.42767369578,18954624609.41087,237765617.6612625,0.0005294983646264198,1e-09,593.9308883424104,108.22535932985018,0.02,0.00017786112196457412,0.0008770397980936344,0.023929921917997008,-0.018887506733885354
out_3d7b5f79-5d06-4fb1-bda7-b88deb513d49.h5,signal1,Bathtub,-1.0,0.7,1e+18,18716858991.749607,86.19389645063495,17677.918895147388,19002869947.83461,286010956.0850029,0.0005965718307104764,1e-09,593.9308883424104,108.22535932985018,0.02,0.00032603870268410026,-9.139365626195832e-05,0.07497654192834563,0.011028117469460145
out_b278e48f-79ef-450c-8f76-d459934f7d4f.h5,signal1,Bathtub,15123807.95630765,0.7,1e+18,18716858991.749607,88.3263600226078,18350.840316875594,18931805763.04993,214946771.3003235,0.0,1e-09,594.276889815646,108.22535932985018,0.02,0.002168008495309233,-0.0019719401228072905,0.026064452953659698,0.0
out_b278e48f-79ef-450c-8f76-d459934f7d4f.h5,signal1,Bathtub,14982463.956715185,0.7,1e+18,18716858991.749607,88.36777228425936,18350.394202856194,18932114933.52973,215255941.78012466,0.00013006458424588796,1e-09,594.276889815646,108.22535932985018,0.02,0.0017222625465664301,0.0006166659553767805,0.025594953327530822,0.002203813945805858
out_b278e48f-79ef-450c-8f76-d459934f7d4f.h5,signal1,Bathtub,18468084.537488643,0.7,1e+18,18716858991.749607,86.41475402049022,18334.758352355162,18958466895.751686,241607904.002079,0.00014138549117305815,1e-09,594.276889815646,108.22535932985018,0.02,0.0007982712325877315,0.002780712708946577,0.0444904188022814,-0.016669723873014228
out_b278e48f-79ef-450c-8f76-d459934f7d4f.h5,signal1,Bathtub,-1.0,0.7,1e+18,18716858991.749607,83.61348239400992,18333.821867868566,18960925863.045994,244066871.29638672,0.00041436679331482507,1e-09,594.276889815646,108.22535932985018,0.02,0.0003053353388385136,0.0024283797431367262,0.07496106992085924,-0.001470467600288204
out_6622585e-d692-41c6-bf96-de5f9e9c4b1e.h5,signal1,Bathtub,15722123.49713232,0.7,1e+18,18716858991.749607,88.1069148652898,18069.60615080973,18943656995.337837,226798003.58823013,0.0,1e-09,593.7244813102884,108.22535932985018,0.02,-0.001234606243931647,-0.002316814605101079,0.028448556159006527,0.0
out_6622585e-d692-41c6-bf96-de5f9e9c4b1e.h5,signal1,Bathtub,-1.0,0.7,1e+18,18716858991.749607,85.81084159968215,18069.363632967612,18983012115.011913,266153123.2623062,7.178467633512793e-05,1e-09,593.7244813102884,108.22535932985018,0.02,-0.002953481165367299,0.0008361016631290969,-0.013241476506724779,-0.013211480603331903
out_24a00b96-7d56-44f2-955c-256031d73093.h5,signal1,Bathtub,13003065.020449275,0.7,1e+18,18716858991.749607,88.93569109923149,17790.10001309567,18947921467.740314,231062475.9907074,0.0,1e-09,593.5263356335364,108.22535932985018,0.02,0.0012440338391764949,0.002536009104307836,0.018333576867874787,0.0
out_24a00b96-7d56-44f2-955c-256031d73093.h5,signal1,Bathtub,12828468.053536933,0.7,1e+18,18716858991.749607,88.99586180233179,17789.502977337863,18948259682.899082,231400691.1494751,0.00017948095936438436,1e-09,593.5263356335364,108.22535932985018,0.02,0.00014365292636718858,0.0028816675081213324,0.017458079044606896,0.015549220802295413
out_24a00b96-7d56-44f2-955c-256031d73093.h5,signal1,Bathtub,12690768.141522523,0.7,1e+18,18716858991.749607,89.042694769435,17770.507577469383,18949146289.972347,232287298.22274017,0.0003166400194986073,1e-09,593.5263356335364,108.22535932985018,0.02,0.003035814576722143,0.0008927695323994018,0.01676162886537787,-0.014715910754537391
out_24a00b96-7d56-44f2-955c-256031d73093.h5,signal1,Bathtub,12559327.441075008,0.7,1e+18,18716858991.749607,89.08968335171616,17739.94615782232,18949649993.99227,232791002.24266434,0.00035042649537595833,1e-09,593.5263356335364,108.22535932985018,0.02,-0.00033533388352025343,0.0024572129652049328,0.016049939834643562,-0.009001079822976196
out_24a00b96-7d56-44f2-955c-256031d73093.h5,signal1,Bathtub,12729196.54918918,0.7,1e+18,18716858991.749607,89.0215221046513,17719.836059907833,18951185481.42979,234326489.6801834,0.0004423129179981336,1e-09,593.5263356335364,108.22535932985018,0.02,-0.0011552964388876568,-0.002627798828117559,0.017078027368974655,-0.010987225114113621
out_24a00b96-7d56-44f2-955c-256031d73093.h5,signal1,Bathtub,12893169.978023823,0.7,1e+18,18716858991.749607,88.96065125516165,17687.419219746724,18952014811.835175,235155820.08556747,0.0004728314411975606,1e-09,593.5263356335364,108.22535932985018,0.02,0.0019105828852688288,-0.0023171780662260334,0.017972701551896435,0.010312662379370927
out_24a00b96-7d56-44f2-955c-256031d73093.h5,signal1,Bathtub,11548753.963217117,0.7,1e+18,18716858991.749607,89.5642577967998,17672.45657627108,18950159662.80663,233300671.0570221,0.0005616378651780263,1e-09,593.5263356335364,108.22535932985018,0.02,-0.0015354366435578316,0.0019359680007840251,0.008129891262393867,0.003297464882994479
out_24a00b96-7d56-44f2-955c-256031d73093.h5,signal1,Bathtub,11879464.325387038,0.7,1e+18,18716858991.749607,89.37201811481982,17657.89787411135,18951289058.120743,234430066.3711357,0.0005635036188961986,1e-09,593.5263356335364,108.22535932985018,0.02,-0.0026645440718879505,0.0016675729533225405,0.01149053018549008,-0.005331091504895931
out_24a00b96-7d56-44f2-955c-256031d73093.h5,signal1,Bathtub,15673924.096226465,0.7,1e+18,18716858991.749607,88.06014118385976,17642.138056246924,18960834342.095444,243975350.34583664,0.0005703090193094569,1e-09,593.5263356335364,108.22535932985018,0.02,-0.0029018465022653274,0.0008187847475464617,0.028938366137907796,-0.011423336391849148
out_24a00b96-7d56-44f2-955c-256031d73093.h5,signal1,Bathtub,15654467.884588836,0.7,1e+18,18716858991.749607,88.06360388519109,17602.80616357465,18961541596.00103,244682604.25142288,0.0005935668339493972,1e-09,593.5263356335364,108.22535932985018,0.02,-0.0014328750151423456,-0.0017196634585264624,0.02890308685021454,0.018212955603697515
