File_name,B_bkg [Tesla],Cyclotron frequency [Hertz],Downmixed cyclotron frequency [Hertz],Energy [eV],LO frequency [Hertz],Pitch angle [degrees],Starting position [metres],Starting velocity [metres/second],Time step [seconds],Trap length [metres],Waveguide impedance [Ohms],i_coil [Amps],r_coil [metres],r_wg [metres]
out_e796c541-cee4-4abb-afc0-404cadbc2d74.h5,1.0,27026022648.52025,215379597.35798264,18575.0,26810643051.162266,89.3,[0.00085 0.      0.     ],[   291025.44558698 -78697216.84054786    961522.29669855],1e-09,0.1,495.8044422809907,154.60765618550025,0.02,0.005
out_2429b0b0-de76-456f-ad2c-a01c3ac1d20b.h5,1.0,27025320795.037724,214677743.87545776,18575.0,26810643051.162266,89.4,[0.00405 0.      0.     ],[ 74464120.31313848 -25469132.16933364    824167.40816897],1e-09,0.1,495.81386861995344,154.60765618550025,0.02,0.005
out_d911c013-d748-4ad3-8094-df4d785d2e31.h5,1.0,27024277147.814102,213634096.6518364,18575.0,26810643051.162266,89.7,[0.0042 0.     0.    ],[49978587.1166754  60796646.05528291  -412089.35290339],1e-09,0.1,495.82788781878764,154.60765618550025,0.02,0.005
out_7461b597-e478-45c6-b0fd-178e06586491.h5,1.0,27040526884.61225,229883833.4499855,18575.0,26810643051.162266,87.8,[0.00305 0.      0.     ],[-27582484.74018895 -73650116.65801041   3021259.87030847],1e-09,0.1,495.60992552832334,154.60765618550025,0.02,0.005
out_0047f35b-52a2-471b-b95c-30648e4b4180.h5,1.0,27026458619.480736,215815568.31847,18575.0,26810643051.162266,89.2,[0.00395 0.      0.     ],[ 2731391.25916923 78648541.85897848  1098874.25626444],1e-09,0.1,495.79858755396134,154.60765618550025,0.02,0.005
out_3a6b95ae-9a55-4eac-8e72-473215dd7a49.h5,1.0,27066519022.828094,255875971.6658287,18575.0,26810643051.162266,86.5,[0.0038 0.     0.    ],[78324507.8672812   6037142.12565738 -4804741.58389951],1e-09,0.1,495.2626960591756,154.60765618550025,0.02,0.005
out_7d64584b-f036-4c02-a084-2df429df258f.h5,1.0,27039215505.929035,228572454.7667694,18575.0,26810643051.162266,87.9,[0.00015 0.      0.     ],[-66775160.70406245  41557450.08564984  -2883992.84163323],1e-09,0.1,495.62749019029803,154.60765618550025,0.02,0.005
out_9525cf26-7106-488d-9a6c-ab648b58a647.h5,1.0,27028381973.279854,217738922.11758804,18575.0,26810643051.162266,88.9,[0.0048 0.     0.    ],[ 70534249.34253132 -34884064.91431871  -1510908.37725346],1e-09,0.1,495.7727643706439,154.60765618550025,0.02,0.005
out_36174ab3-77a3-4691-b79b-fea3ce2d5728.h5,1.0,27045175215.61059,234532164.4483261,18575.0,26810643051.162266,87.5,[0.00135 0.      0.     ],[-78585063.65532345  -2619811.59035922  -3433004.06422971],1e-09,0.1,495.54770119198486,154.60765618550025,0.02,0.005
out_7d013fb0-d778-43a9-9cdb-15be050f9ed6.h5,1.0,27035467276.02368,224824224.86141586,18575.0,26810643051.162266,88.2,[0.0012 0.     0.    ],[78534463.0949202  -4526343.56307764 -2472140.71744274],1e-09,0.1,495.677718539513,154.60765618550025,0.02,0.005
out_a62ee646-88d7-4fbd-8323-46f4a9e63664.h5,1.0,27043553979.60116,232910928.43889236,18575.0,26810643051.162266,87.6,[0.0011 0.     0.    ],[29547820.22517642 72871979.57006688 -3295765.89970319],1e-09,0.1,495.56939737183416,154.60765618550025,0.02,0.005
out_58b21e85-4a55-4284-afc3-9e188ddfc9e5.h5,1.0,27036750578.491936,226107527.32966995,18575.0,26810643051.162266,88.1,[0.00105 0.      0.     ],[-51916142.19305607  59094553.04334319  -2609432.84702172],1e-09,0.1,495.6605175072413,154.60765618550025,0.02,0.005
out_8bdc6093-fe55-45d6-b30b-23bbdd2b4151.h5,1.0,27024050514.656193,213407463.493927,18575.0,26810643051.162266,90.0,[0.0021 0.     0.    ],[7.49947697e+06 7.83455104e+07 4.81920734e-09],1e-09,0.1,495.83093252899914,154.60765618550025,0.02,0.005
out_9d09011c-5edc-4a50-8981-1ca8ea48b6b8.h5,1.0,27038864003.566597,228220952.4043312,18575.0,26810643051.162266,87.9,[0.00485 0.      0.     ],[-72520887.43805924 -30441166.69694158   2883992.84163323],1e-09,0.1,495.63219897965416,154.60765618550025,0.02,0.005
out_b3139799-cb04-42af-9980-fea0e22016a7.h5,1.0,27028715071.79219,218072020.62992477,18575.0,26810643051.162266,88.9,[0.0001 0.     0.    ],[-55210863.49908242 -56069054.45026223   1510908.37725346],1e-09,0.1,495.76829311914383,154.60765618550025,0.02,0.005
out_599fd5b9-08a2-427f-aade-c2eda4aa5e8c.h5,1.0,27024944985.394726,214301934.23246002,18575.0,26810643051.162266,89.5,[0.00385 0.      0.     ],[69503999.20365813 36918607.04434216  -686810.00908256],1e-09,0.1,495.8189165055915,154.60765618550025,0.02,0.005
